epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3566.15,1.79285,2.1936,2.23046,0.30758,0.12425,0.09841,0.05791,1.78262,2.0903,2.30194,0.00102345,0.00102345,0.00102345
88,3615.93,1.71996,2.24632,2.2064,0.43703,0.12454,0.13057,0.07859,1.61333,1.9497,2.234,0.00101873,0.00101873,0.00101873
89,3676.85,1.76436,2.18986,2.16493,0.49733,0.12454,0.12999,0.07928,1.64401,2.19843,2.27294,0.00101402,0.00101402,0.00101402
90,3736.16,1.83284,2.31296,2.28357,0.6993,0.0989,0.1205,0.06585,1.68685,2.09287,2.25353,0.0010093,0.0010093,0.0010093
91,3791.13,1.73824,2.17189,2.17978,0.27056,0.07509,0.08486,0.05105,1.68942,2.23985,2.30733,0.00100459,0.00100459,0.00100459
92,3845.64,1.74189,2.16385,2.16053,0.21738,0.10073,0.10548,0.05378,1.74983,2.37986,2.32936,0.000999871,0.000999871,0.000999871
93,3895.19,1.7158,2.10409,2.13049,0.533,0.02381,0.07105,0.03975,1.83237,2.441,2.37735,0.000995156,0.000995156,0.000995156
94,3957.41,1.70409,2.16213,2.13412,0.41085,0.04945,0.06331,0.03645,1.87074,2.69692,2.44316,0.00099044,0.00099044,0.00099044
95,4038.61,1.72779,2.02218,2.19359,0.31396,0.04945,0.08191,0.0596,1.73446,2.35191,2.32944,0.000985724,0.000985724,0.000985724
96,4105.92,1.66032,2.0618,2.12902,0.44222,0.0989,0.11306,0.08491,1.70299,2.00879,2.24122,0.000981008,0.000981008,0.000981008
97,4175.97,1.77357,2.07972,2.1895,0.43667,0.10073,0.10925,0.0586,1.78558,2.06932,2.28166,0.000976293,0.000976293,0.000976293
98,4235.52,1.73445,2.09215,2.13482,0.37825,0.10073,0.0984,0.0662,1.69696,2.15562,2.19857,0.000971577,0.000971577,0.000971577
99,4297.14,1.78187,2.18716,2.20025,0.47818,0.07509,0.0914,0.05411,1.69598,2.15261,2.2412,0.000966861,0.000966861,0.000966861
100,4354.96,1.73762,2.11944,2.13978,0.42591,0.12454,0.13223,0.08083,1.62974,1.99055,2.22185,0.000962146,0.000962146,0.000962146
101,4420.93,1.80379,2.16213,2.17456,0.56016,0.0989,0.11863,0.08852,1.62449,1.87708,2.13162,0.00095743,0.00095743,0.00095743
102,4484.89,1.70407,2.051,2.08552,0.38272,0.10073,0.12879,0.07334,1.52691,1.8799,2.07584,0.000952714,0.000952714,0.000952714
103,4543.34,1.66788,2.05882,2.0772,0.29114,0.12454,0.10476,0.07092,1.561,1.85763,2.08918,0.000947999,0.000947999,0.000947999
104,4629.26,1.72474,2.14257,2.10473,0.31112,0.10507,0.09988,0.06325,1.61758,1.98127,2.14517,0.000943283,0.000943283,0.000943283
105,4698.75,1.64228,1.96539,2.0909,0.3457,0.09708,0.10098,0.06016,1.59635,1.98163,2.1186,0.000938567,0.000938567,0.000938567
106,4754.99,1.70324,2.08731,2.11718,0.29576,0.11498,0.11158,0.07087,1.65525,1.94359,2.08931,0.000933851,0.000933851,0.000933851
107,4835.46,1.65652,1.96842,2.0768,0.50556,0.12454,0.10806,0.07634,1.65392,1.91867,2.10249,0.000929136,0.000929136,0.000929136
108,4902.98,1.64675,1.95105,2.05969,0.30593,0.12454,0.10853,0.065,1.60016,1.95756,2.13382,0.00092442,0.00092442,0.00092442
109,4967.86,1.70517,2.04353,2.11124,0.5211,0.12454,0.12333,0.06278,1.58748,2.11897,2.12145,0.000919704,0.000919704,0.000919704
110,5062.44,1.52604,1.88209,2.01813,0.59105,0.12454,0.12711,0.07936,1.54538,1.97587,2.10149,0.000914989,0.000914989,0.000914989
111,5138.91,1.61497,1.99356,2.06504,0.37562,0.12454,0.12438,0.07076,1.58907,1.7797,2.15235,0.000910273,0.000910273,0.000910273
112,5197.22,1.59954,1.87866,2.0105,0.451,0.07509,0.10526,0.06086,1.59255,1.97459,2.16296,0.000905557,0.000905557,0.000905557
113,5283.96,1.6056,1.87749,2.03579,0.3482,0.07509,0.08036,0.05154,1.63403,1.84328,2.13457,0.000900842,0.000900842,0.000900842
114,5358.28,1.60188,1.9122,2.00877,0.52845,0.07509,0.08267,0.04454,1.57391,2.51463,2.1094,0.000896126,0.000896126,0.000896126
115,5470.58,1.62178,1.89917,2.02348,0.51915,0.12454,0.13505,0.09436,1.495,1.90332,2.04748,0.00089141,0.00089141,0.00089141
116,5583.85,1.59902,1.87171,2.04367,0.50513,0.12454,0.12495,0.08641,1.63542,1.87541,2.19331,0.000886694,0.000886694,0.000886694
117,5670.92,1.64546,2.01587,2.08222,0.83416,0.12637,0.1322,0.08052,1.62892,1.78201,2.26978,0.000881979,0.000881979,0.000881979
118,5762.5,1.73567,1.92028,2.15837,0.63531,0.12454,0.13944,0.08547,1.66024,2.04736,2.28107,0.000877263,0.000877263,0.000877263
119,5857.39,1.55348,1.89171,1.96893,0.42619,0.12454,0.13642,0.07598,1.71111,1.96402,2.28903,0.000872547,0.000872547,0.000872547
